seriesuid,coordX,coordY,coordZ,diam,probability
489,-87.13262563159178,-52.08899497985843,-172.86809490478515,13.376764297485352,0.7514551716345823
489,-66.5724106352539,-36.73650360107425,-160.31314037597656,9.301791191101074,0.8869384573970952
489,-67.74810033251953,44.73588562011713,-148.26003979003906,9.628814697265625,0.9488059708049227
489,25.07556147167969,26.669837951660128,-90.03767345703125,8.483545303344727,0.7463483438760568
489,73.42541498730469,70.51194763183588,-36.10580395019531,7.687582015991211,0.9672755871109816
489,32.39849848339844,23.628929138183537,-20.57212780273437,13.442026138305664,0.9582218625518832
841,96.69744878222656,-38.739402770996094,-261.5724124908447,8.278088569641113,0.9150634225464086
841,-82.41537851879883,-27.494056701660156,-250.00736808776855,12.535886764526367,0.8287279488282004
841,85.7421112578125,-85.8626708984375,-245.7944564819336,8.494058609008789,0.9037952809027894
841,-50.892532296875004,-74.37049865722655,-243.2540512084961,8.844710350036621,0.759629800667609
841,-90.81237787792969,0.78558349609375,-223.58327102661133,5.379229545593262,0.731942675316214
841,76.74636845996093,-78.84854698181152,-213.50750732421875,6.633174896240234,0.9488251682880473
841,-27.02038569042969,41.93916320800781,-211.15469360351562,5.054702281951904,0.7393183596229529
841,-14.131668039062504,68.83035278320312,-203.32737731933594,9.962945938110352,0.7385037697212644
841,-34.79462427685547,103.87860107421875,-199.29998016357422,17.944684982299805,0.7957172469411581
841,-106.28769869396973,60.277450561523466,-186.81262969970703,7.0693840980529785,0.7627978942062216
841,-99.05685419628907,72.22186279296875,-185.95831298828125,8.002093315124512,0.7606295129349476
841,-18.30235285351563,81.17283630371094,-177.94923400878906,15.863199234008789,0.866594650663736
841,-82.49682612011719,57.838302612304716,-157.5848159790039,7.914828300476074,0.8112546927450935
841,21.554245046874996,-50.16473388671875,-155.5285415649414,5.773106098175049,0.883709946515092
841,-86.27994532177735,85.92950439453125,-151.5962371826172,4.943771839141846,0.8320560892536311
841,65.95190434863281,88.66374206542969,-146.3704833984375,5.834854602813721,0.7963911090546711
841,49.752960256835934,80.48287963867188,-134.4071502685547,5.3376145362854,0.7379441983441378
841,-65.97339243481446,92.18980407714844,-130.88018798828125,17.67932891845703,0.8107863402960194
841,-91.27214426586914,24.645416259765653,-127.36691284179688,9.517435073852539,0.7351681592889098
841,-70.63978952954103,86.0364990234375,-98.37628173828125,17.000591278076172,0.8241223460338825
841,-50.489517160156254,49.35455322265622,-93.86924743652344,11.651758193969727,0.8035716177445595
841,-78.4385528046875,80.96853637695312,-89.48635864257812,8.48172378540039,0.9334319665737872
841,-26.380134530761723,80.97322082519531,-87.34039306640625,5.336086750030518,0.7429517918308923
841,-89.99744410107422,28.793624877929688,-83.18437194824219,10.901775360107422,0.8785163240598486
841,-78.25490183422852,66.07603454589844,-69.81678771972656,10.438203811645508,0.8764345384908181
841,-46.50743860791016,41.64790344238281,-66.45610046386719,15.746036529541016,0.8128357636620906
841,-62.83007807324219,66.00318908691406,-67.19355773925781,13.357885360717773,0.8066535371281793
841,-75.05659861157227,-7.0994720458984375,-62.53607177734375,17.929901123046875,0.8910080527217998
841,-45.89714808056641,-6.605255126953125,-62.21923828125,22.203237533569336,0.8252008997092688
841,-82.65718836376954,-3.0726318359375,-63.56535339355469,19.52681541442871,0.8429312152246131
841,-46.53544611523438,54.079315185546875,-63.36180114746094,5.320603847503662,0.8205089146528103
841,37.368942312499996,71.96910095214841,-59.46624755859375,6.489060401916504,0.8112512610842197
